You are a quality evaluator for Nablarch knowledge files used by AI agents in mission-critical enterprise system development.

## Context

Nabledge provides AI agents with Nablarch framework knowledge. The knowledge files are the ONLY information source for the agent.

## Task

Evaluate the following residual findings and determine their user impact.

## File: `libraries-07_TagReference--s1`

### Residual Findings

```json
[
  {
    "category": "hints_missing",
    "severity": "minor",
    "location": "index[s2].hints",
    "description": "\"不正画面遷移チェック\" is missing from s2 hints. The source explicitly lists this as a function of WebView_FormTag in the カスタムタグ一覧 table: \"不正画面遷移チェック\". Users searching for this feature should be directed to s2 (and s5), but neither section includes it as a hint.",
    "source_evidence": ":ref:`WebView_FormTag` | HTMLのformタグ出力 | サブミット制御(ボタンとアクションの紐付け、二重サブミット防止) | 不正画面遷移チェック"
  }
]
```

### Source (RST)

```
.. _WebView_TagReference:

================================================
タグリファレンス
================================================

---------------------------
カスタムタグ一覧
---------------------------

========================================== ==========================================================================================
タグ                                       | 機能
    "s6": "**textタグ**（:ref:`WebView_TextTag`）の属性。\n\n| 属性 | 必須 | デフォルト値 | 説明 |\n|---|---|---|---|\n| :ref:`WebView_GenericAttributesTag` | | | 全HTMLタグ共通属性 |\n| :ref:`WebView_FocusAttributesTag` | | | フォーカス属性 |\n| name | ○ | | XHTMLのname属性 |\n| disabled | | | XHTMLのdisabled属性 |\n| readonly | | | XHTMLのreadonly属性 |\n| size | | | XHTMLのsize属性 |\n| maxlength | | | XHTMLのmaxlength属性 |\n| onselect | | | XHTMLのonselect属性 |\n| onchange | | | XHTMLのonchange属性 |\n| autocomplete | | | HTML5のautocomplete属性 |\n| autofocus | | | HTML5のautofocus属性 |\n| placeholder | | | HTML5のplaceholder属性 |\n| errorCss | | \"nablarch_error\" | エラーレベルのメッセージに使用するCSSクラス名 |\n| nameAlias | | | name属性のエイリアス（複数指定はカンマ区切り） |\n| valueFormat | | | 出力時のフォーマット。\"データタイプ{パターン}\"形式で指定 |\n\n**valueFormat の詳細**:\n\n- `yyyymmdd`: 年月日のフォーマット。値はyyyyMMdd形式またはパターン形式の文字列を指定する。パターンにはjava.text.SimpleDateFormatの構文を指定。**パターン文字には、y(年)、M(月)、d(月における日)のみ指定可能。** :ref:`WebView_CustomTagConfig` を使用してパターンのデフォルト値を設定可能。\n  - 指定例: `valueFormat=\"yyyymmdd\"` / `valueFormat=\"yyyymmdd{yyyy/MM/dd}\"`\n  - > **注意**: valueFormat属性を指定した場合、入力画面にもフォーマットした値が出力される。入力された年月日をアクションで取得する場合は :ref:`ExtendedValidation_yyyymmddConvertor` を使用する。textタグとコンバータが連携し、valueFormat属性に指定されたパターンを使用した値変換と入力精査を行う。\n\n- `yyyymm`: 年月のフォーマット。値はyyyyMM形式またはパターン形式の文字列を指定する。使用方法はyyyymmddと同様。\n  - > **注意**: コンバータには :ref:`ExtendedValidation_yyyymmConvertor` を使用する。\n\n- `decimal`: 10進数のフォーマット。値はjava.lang.Number型または数字の文字列を指定する。文字列の場合、言語に対応する1000の区切り文字を取り除いた後でフォーマットされる。パターンにはjava.text.DecimalFormatの構文を指定。ThreadContextに設定された言語を使用して言語に応じた形式で値が出力される。区切り文字\"|\"を使用してパターンに直接言語を指定可能。:ref:`WebView_CustomTagConfig` を使用して区切り文字\"|\"の変更可。\n  - 指定例: `valueFormat=\"decimal{###,###,###.000}\"` / `valueFormat=\"decimal{###,###,###.000|ja}\"`\n  - > **注意**: valueFormat属性を指定した場合、入力画面にもフォーマットした値が出力される。入力された数値をアクションで取得する場合は :ref:`数値コンバータ(BigDecimalConvertor、IntegerConvertor、LongConvertor)<validator_and_convertor>` を使用する。textタグと数値コンバータが連携し、valueFormat属性に指定された言語に対応する値変換と入力精査を行う。",
    "s7": "**textareaタグ**（:ref:`WebView_TextareaTag`）の属性。\n\n| 属性 | 必須 | デフォルト値 | 説明 |\n|---|---|---|---|\n| :ref:`WebView_GenericAttributesTag` | | | 全HTMLタグ共通属性 |\n| :ref:`WebView_FocusAttributesTag` | | | フォーカス属性 |\n| name | ○ | | XHTMLのname属性 |\n| rows | ○ | | XHTMLのrows属性 |\n| cols | ○ | | XHTMLのcols属性 |\n| disabled | | | XHTMLのdisabled属性 |\n| readonly | | | XHTMLのreadonly属性 |\n| onselect | | | XHTMLのonselect属性 |\n| onchange | | | XHTMLのonchange属性 |\n| autofocus | | | HTML5のautofocus属性 |\n| placeholder | | | HTML5のplaceholder属性 |\n| maxlength | | | HTML5のmaxlength属性 |\n| errorCss | | \"nablarch_error\" | エラーレベルのメッセージに使用するCSSクラス名 |\n| nameAlias | | | name属性のエイリアス（複数指定はカンマ区切り） |",
    "s8": "**passwordタグ**（:ref:`WebView_PasswordTag`）の属性。\n\n| 属性 | 必須 | デフォルト値 | 説明 |\n|---|---|---|---|\n| :ref:`WebView_GenericAttributesTag` | | | 全HTMLタグ共通属性 |\n| :ref:`WebView_FocusAttributesTag` | | | フォーカス属性 |\n| name | ○ | | XHTMLのname属性 |\n| disabled | | | XHTMLのdisabled属性 |\n| readonly | | | XHTMLのreadonly属性 |\n| size | | | XHTMLのsize属性 |\n| maxlength | | | XHTMLのmaxlength属性 |\n| onselect | | | XHTMLのonselect属性 |\n| onchange | | | XHTMLのonchange属性 |\n| autocomplete | | | HTML5のautocomplete属性 |\n| autofocus | | | HTML5のautofocus属性 |\n| placeholder | | | HTML5のplaceholder属性 |\n| restoreValue | | false | 入力画面の再表示時に入力データを復元するか否か。復元する場合はtrue、復元しない場合はfalse |\n| replacement | | '*' | 確認画面用の出力時に使用する置換文字 |\n| errorCss | | \"nablarch_error\" | エラーレベルのメッセージに使用するCSSクラス名 |\n| nameAlias | | | name属性のエイリアス（複数指定はカンマ区切り） |",
    "s9": "**radioButtonタグ**（:ref:`WebView_RadioButtonTag`）の属性。radiobuttonsタグで表示できないレイアウト時に使用する。\n\n| 属性 | 必須 | デフォルト値 | 説明 |\n|---|---|---|---|\n| :ref:`WebView_GenericAttributesTag` | | | 全HTMLタグ共通属性 |\n| :ref:`WebView_FocusAttributesTag` | | | フォーカス属性 |\n| name | ○ | | XHTMLのname属性 |\n| value | ○ | | XHTMLのvalue属性 |\n| label | ○ | | ラベル |\n| disabled | | | XHTMLのdisabled属性 |\n| onchange | | | XHTMLのonchange属性 |\n| autofocus | | | HTML5のautofocus属性 |\n| errorCss | | \"nablarch_error\" | エラーレベルのメッセージに使用するCSSクラス名 |\n| nameAlias | | | name属性のエイリアス（複数指定はカンマ区切り） |",
    "s10": "**checkboxタグ**（:ref:`WebView_CheckboxTag`）の属性。checkboxesタグで表示できないレイアウト時に使用する。\n\n| 属性 | 必須 | デフォルト値 | 説明 |\n|---|---|---|---|\n| :ref:`WebView_GenericAttributesTag` | | | 全HTMLタグ共通属性 |\n| :ref:`WebView_FocusAttributesTag` | | | フォーカス属性 |\n| name | ○ | | XHTMLのname属性 |\n| value | | \"1\" | XHTMLのvalue属性。チェックありの場合に使用する値 |\n| autofocus | | | HTML5のautofocus属性 |\n| label | | | チェックありの場合に使用するラベル。入力画面ではこのラベルが表示される |\n| useOffValue | | true | チェックなしの値設定を使用するか否か |\n| offLabel | | | チェックなしの場合に使用するラベル |\n| offValue | | \"0\" | チェックなしの場合に使用する値 |\n| disabled | | | XHTMLのdisabled属性 |\n| onchange | | | XHTMLのonchange属性 |\n| errorCss | | \"nablarch_error\" | エラーレベルのメッセージに使用するCSSクラス名 |\n| nameAlias | | | name属性のエイリアス（複数指定はカンマ区切り） |"
  }
}
```

### Improvement Loop Logs

--- Phase D logs ---
{
  "file_id": "libraries-07_TagReference--s1",
  "status": "has_issues",
  "findings": [
    {
      "category": "hints_missing",
      "severity": "minor",
      "location": "index[s2].hints",
      "description": "\"不正画面遷移チェック\" is missing from s2 hints. The source explicitly lists this as a function of WebView_FormTag in the カスタムタグ一覧 table: \"不正画面遷移チェック\". Users searching for this feature should be directed to s2 (and s5), but neither section includes it as a hint.",
      "source_evidence": ":ref:`WebView_FormTag` | HTMLのformタグ出力 | サブミット制御(ボタンとアクションの紐付け、二重サブミット防止) | 不正画面遷移チェック"
    }
  ]
}
--- Phase E logs ---
{
  "id": "libraries-07_TagReference--s1",
  "title": "タグリファレンス",
  "no_knowledge_content": false,
  "official_doc_urls": [],
  "index": [
    {
      "id": "s1",
      "title": "",
      "hints": [
        "WebViewカスタムタグ",
        "タグリファレンス",
        "共通属性",
        "個別属性",
        "カスタムタグ"
      ]
    },
    {
      "id": "s2",
      "title": "カスタムタグ一覧",
      "hints": [
        "formタグ",
        "textタグ",
        "textareaタグ",
        "passwordタグ",
        "radioButtonタグ",
        "checkboxタグ",
        "fileタグ",
        "hiddenタグ",
        "selectタグ",
        "buttonタグ",
        "errorsタグ",
        "writeタグ",
        "submitタグ",
        "codeSelectタグ",
        "listSearchResultタグ",
        "confirmationPageタグ",
        "WebView_FormTag",
        "WebView_TextTag",
        "WebView_TextareaTag",
        "WebView_PasswordTag",
        "WebView_RadioButtonTag",
        "WebView_CheckboxTag",
        "WebView_CompositeKeyRadioButtonTag",
        "WebView_CompositeKeyCheckboxTag",
        "WebView_FileTag",
        "WebView_HiddenTag",
        "WebView_PlainHiddenTag",
        "WebView_SelectTag",
        "WebView_RadioButtonsTag",
        "WebView_CheckboxesTag",
        "WebView_SubmitTag",
        "WebView_ButtonTag",
        "WebView_SubmitLinkTag",
        "WebView_PopupSubmitTag",
        "WebView_PopupButtonTag",
        "WebView_PopupLinkTag",
        "WebView_DownloadSubmitTag",
        "WebView_DownloadButtonTag",
        "WebView_DownloadLinkTag",
        "WebView_ParamTag",
        "WebView_ChangeParamNameTag",
        "WebView_ATag",
        "WebView_ImgTag",
        "WebView_LinkTag",
        "WebView_ScriptTag",
        "WebView_ErrorsTag",
        "WebView_ErrorTag",
        "WebView_NoCacheTag",
        "WebView_CodeSelectTag",
        "WebView_CodeRadioButtonsTag",
        "WebView_CodeCheckboxesTag",
        "WebView_CodeCheckboxTag",
        "WebView_CodeTag",
        "WebView_MessageTag",
        "WebView_ListSearchResultTag",
        "WebView_ListSearchSortSubmitTag",
        "WebView_WriteTag",
        "WebView_PrettyPrintTag",
        "WebView_RawWriteTag",
        "WebView_SetTag",
        "WebView_IncludeTag",
        "WebView_IncludeParamTag",
        "WebView_ConfirmationPageTag",
        "WebView_IgnoreConfirmationTag",
        "WebView_ForInputPageTag",
        "WebView_ForConfirmationPageTag",
        "二重サブミット防止",
        "入力データ復元",
        "HTMLエスケープ",
        "サブミット制御",
        "コード値選択",
        "popupSubmit",
        "downloadSubmit",
        "ウィンドウスコープ",
        "URLリライト",
        "エラーメッセージ表示",
        "キャッシュ防止",
        "並び替え",
        "インクルード",
        "確認画面"
      ]
    },
    {
      "id": "s3",
      "title": "全てのHTMLタグ",
      "hints": [
        "全HTMLタグ共通属性",
        "id",
        "cssClass",
        "style",
        "title",
        "lang",
        "xmlLang",
        "dir",
        "onclick",
        "ondblclick",
        "onmousedown",
        "onmouseup",
        "onmouseover",
        "onmousemove",
        "onmouseout",
        "onkeypress",
        "onkeydown",
        "onkeyup",
        "WebView共通属性",
        "WebView_GenericAttributesTag"
      ]
    },
    {
      "id": "s4",
      "title": "フォーカスを取得可能なHTMLタグ",
      "hints": [
        "フォーカス属性",
        "accesskey",
        "tabindex",
        "onfocus",
        "onblur",
        "WebView_FocusAttributesTag"
      ]
    },
    {
      "id": "s5",
      "title": "formタグ",
      "hints": [
        "formタグ",
        "useToken",
        "windowScopePrefixes",
        "secure",
        "二重サブミット防止",
        "トークン",
        "ウィンドウスコープ",
        "confirmationPage",
        "autocomplete"
      ]
    },
    {
      "id": "s6",
      "title": "textタグ",
      "hints": [
        "textタグ",
        "valueFormat",
        "yyyymmdd",
        "yyyymm",
        "decimal",
        "errorCss",
        "nameAlias",
        "ExtendedValidation_yyyymmddConvertor",
        "ExtendedValidation_yyyymmConvertor",
        "DecimalFormat",
        "SimpleDateFormat",
        "WebView_CustomTagConfig"
      ]
    },
    {
      "id": "s7",
      "title": "textareaタグ",
      "hints": [
        "textareaタグ",
        "rows",
        "cols",
        "maxlength",
        "placeholder",
        "errorCss",
        "nameAlias",
        "autofocus"
      ]
    },
    {
      "id": "s8",
      "title": "passwordタグ",
      "hints": [
        "passwordタグ",
        "restoreValue",
        "replacement",
        "確認画面",
        "errorCss",
        "nameAlias",
        "autocomplete"
      ]
    },
    {
      "id": "s9",
      "title": "radioButtonタグ",
      "hints": [
        "radioButtonタグ",
        "radioButton",
        "label",
        "nameAlias",
        "errorCss",
        "autofocus",
        "value"
      ]
    },
    {
      "id": "s10",
      "title": "checkboxタグ",
      "hints": [
        "checkboxタグ",
        "useOffValue",
        "offValue",
        "offLabel",
        "value",
        "label",
        "nameAlias",
        "errorCss"

## Evaluation Criteria

For each finding, assess:
1. **User Impact**: high / medium / low / none
2. **Why it persisted**: Using the logs, explain why D→E did not resolve this.

## Output

Respond with JSON matching the provided schema.
Set `needs_improvement` to `true` if ANY finding has `high` or `medium` impact.
